"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 31 13:01:34 UTC 2025","Sun Aug 31 13:01:39 UTC 2025","5721","tests","test_userflow_ui_selenium","","","","Change Password and Reset It Back",""
"passed","Sun Aug 31 13:01:26 UTC 2025","Sun Aug 31 13:01:28 UTC 2025","2254","tests","test_userflow_ui_selenium","","","","Register New User",""
"passed","Sun Aug 31 13:01:16 UTC 2025","Sun Aug 31 13:01:17 UTC 2025","548","tests","test_app","","","","test_change_name",""
"passed","Sun Aug 31 13:01:16 UTC 2025","Sun Aug 31 13:01:16 UTC 2025","2","tests","test_app","","","","test_login_failure",""
"passed","Sun Aug 31 13:01:16 UTC 2025","Sun Aug 31 13:01:16 UTC 2025","549","tests","test_app","","","","test_login_success",""
"passed","Sun Aug 31 13:01:15 UTC 2025","Sun Aug 31 13:01:15 UTC 2025","49","tests","test_app","","","","test_home_and_about_pages",""
"passed","Sun Aug 31 13:01:16 UTC 2025","Sun Aug 31 13:01:16 UTC 2025","2","tests","test_app","","","","test_auth_required",""
"passed","Sun Aug 31 13:01:15 UTC 2025","Sun Aug 31 13:01:16 UTC 2025","275","tests","test_app","","","","test_register_duplicate_email",""
"failed","Sun Aug 31 13:01:40 UTC 2025","Sun Aug 31 13:01:43 UTC 2025","3732","tests","test_userflow_ui_selenium","","","","Delete User Account",""
"passed","Sun Aug 31 13:01:15 UTC 2025","Sun Aug 31 13:01:15 UTC 2025","275","tests","test_app","","","","test_register",""
"passed","Sun Aug 31 13:01:18 UTC 2025","Sun Aug 31 13:01:19 UTC 2025","811","tests","test_app","","","","test_change_password_wrong_old",""
"passed","Sun Aug 31 13:01:19 UTC 2025","Sun Aug 31 13:01:19 UTC 2025","546","tests","test_app","","","","test_delete_account",""
"passed","Sun Aug 31 13:01:44 UTC 2025","Sun Aug 31 13:01:45 UTC 2025","1360","tests","test_userjourney","","","","Full user journey: register → login → change name → change password → delete account",""
"passed","Sun Aug 31 13:01:29 UTC 2025","Sun Aug 31 13:01:30 UTC 2025","1573","tests","test_userflow_ui_selenium","","","","Login with Valid Credentials",""
"passed","Sun Aug 31 13:01:31 UTC 2025","Sun Aug 31 13:01:33 UTC 2025","2742","tests","test_userflow_ui_selenium","","","","Change User Name",""
"passed","Sun Aug 31 13:01:17 UTC 2025","Sun Aug 31 13:01:18 UTC 2025","1082","tests","test_app","","","","test_change_password",""
"passed","Sun Aug 31 13:01:19 UTC 2025","Sun Aug 31 13:01:20 UTC 2025","545","tests","test_app","","","","test_session_auth_flag",""
